Datetime,Location,Item,TransactionQty
01/02/18 01:56:15 PM,L1,I1,-40
01/02/18 01:58:52 PM,L1,I4,-100
01/02/18 01:59:14 PM,L1,I3,-100
01/02/18 01:59:48 PM,L1,I6,-80
01/02/18 02:02:21 PM,L1,I6,-80
01/02/22 12:49:15 PM,L1,I4,-100
01/03/18 03:40:48 PM,L1,I3,-100
01/03/18 03:44:42 PM,L1,I1,-120
01/03/18 07:50:22 PM,L1,I5,-80
01/03/19 01:23:07 PM,L1,I9,-40
01/03/19 01:23:21 PM,L1,I8,-80
01/03/19 01:24:17 PM,L1,I1,-80
01/03/19 01:25:08 PM,L1,I6,-40
01/03/19 02:01:40 PM,L1,I1,-80
01/03/19 02:01:55 PM,L1,I5,-80
01/03/19 02:02:02 PM,L1,I6,-40
01/03/19 02:03:09 PM,L1,I9,-120
01/03/19 03:41:40 PM,L1,I2,-36
01/03/22 06:19:48 PM,L1,I1,-80
01/03/22 06:19:55 PM,L1,I6,-80
01/03/22 06:20:02 PM,L1,I7,-30
01/03/22 06:20:15 PM,L1,I9,-40
01/03/22 06:59:31 PM,L1,I3,-75
01/03/22 07:07:10 PM,L1,I1,-80
01/03/22 07:07:34 PM,L1,I8,-40
01/03/22 07:08:37 PM,L1,I3,-100
01/04/18 01:41:37 PM,L1,I5,-120
01/04/18 01:41:49 PM,L1,I6,-80
01/04/18 01:42:36 PM,L1,I1,-120
01/04/18 01:42:45 PM,L1,I2,-40
01/04/21 02:57:27 PM,L1,I1,-160
01/04/21 02:57:36 PM,L1,I6,-34
01/04/21 02:57:44 PM,L1,I10,-120
01/04/21 02:57:51 PM,L1,I9,-34
01/04/21 07:29:06 PM,L1,I4,-100
01/04/21 07:29:16 PM,L1,I3,-100
01/04/21 07:30:14 PM,L1,I2,-40
01/04/22 02:28:59 PM,L1,I6,-80
01/04/22 02:29:10 PM,L1,I1,-120
01/04/22 02:29:15 PM,L1,I10,-80
01/04/22 02:30:35 PM,L1,I9,-80
01/04/22 02:30:53 PM,L1,I7,-30
01/04/22 11:37:25 AM,L1,I1,-160
01/05/21 06:04:25 PM,L1,I1,-40
01/05/22 07:38:05 PM,L1,I2,-42
01/06/20 06:49:00 PM,L1,I8,-80
01/06/20 06:54:58 PM,L1,I1,-80
01/06/20 07:13:31 PM,L1,I1,-200
01/06/20 07:13:40 PM,L1,I6,-120
01/06/20 07:13:48 PM,L1,I10,-120
01/06/20 07:14:08 PM,L1,I9,-80
01/06/21 04:49:51 PM,L1,I3,-100
01/06/21 04:50:05 PM,L1,I6,-35
01/06/21 04:50:12 PM,L1,I10,-80
01/06/21 04:50:20 PM,L1,I1,-120
01/06/21 12:36:28 PM,L1,I7,-32.7
01/07/19 04:14:33 PM,L1,I1,-120
01/07/19 04:16:56 PM,L1,I10,-80
01/07/19 04:17:13 PM,L1,I3,-100
01/07/19 04:17:19 PM,L1,I4,-100
01/07/20 04:23:13 PM,L1,I6,-40
01/07/20 04:23:43 PM,L1,I7,-32
01/07/20 04:23:52 PM,L1,I1,-40
01/07/22 07:04:57 PM,L1,I3,-140
01/07/22 07:05:27 PM,L1,I4,-100
01/07/22 07:12:26 PM,L1,I9,-50
01/08/18 01:16:29 PM,L1,I3,-100
01/08/18 01:18:00 PM,L1,I5,-40
01/08/18 01:21:46 PM,L1,I5,-120
01/08/18 01:28:47 PM,L1,I3,-100
01/08/18 01:29:19 PM,L1,I4,-100
01/08/18 01:29:26 PM,L1,I2,-40
01/08/19 12:18:42 PM,L1,I6,-80
01/08/19 12:19:06 PM,L1,I9,-40
01/08/19 12:19:12 PM,L1,I1,-80
01/08/19 12:19:27 PM,L1,I3,-100
01/08/19 12:23:11 PM,L1,I3,-100
01/08/19 12:23:42 PM,L1,I2,-40
01/08/20 01:31:36 PM,L1,I1,-80
01/08/20 01:37:35 PM,L1,I1,-200
