part_ID,present,forecast_window,forecast_date,forecast_low,forecast_value,forecast_high,accuracy,Commodity Description,Sub Commodity Description,Primary Supplier Name,Part Description
MB_1883673,2022-01-13,56,2022-03-10,1021,5077,9133,56.21,Vinyls/Mesh/Screen,Vinyl - Lam,OMNOVA SOLUTIONS INC.,"VINYL, SOFDURA GEL WHT PREFIXX 54"""
MB_1883673,2022-01-13,84,2022-04-07,1135,9822,18508,52.13,Vinyls/Mesh/Screen,Vinyl - Lam,OMNOVA SOLUTIONS INC.,"VINYL, SOFDURA GEL WHT PREFIXX 54"""
MB_2018994,2022-01-13,56,2022-03-10,336,788,1241,65.45,Vinyls/Mesh/Screen,Vinyl - Lam,OMNOVA SOLUTIONS INC.,"VINYL, SOFDURA GEL WHT PREFIXX 1/4""FB W/ADH"
MB_2018994,2022-01-13,84,2022-04-07,527,1226,1925,66.28,Vinyls/Mesh/Screen,Vinyl - Lam,OMNOVA SOLUTIONS INC.,"VINYL, SOFDURA GEL WHT PREFIXX 1/4""FB W/ADH"
MB_2018994,2022-01-13,112,2022-05-05,765,1606,2448,68.46,Vinyls/Mesh/Screen,Vinyl - Lam,OMNOVA SOLUTIONS INC.,"VINYL, SOFDURA GEL WHT PREFIXX 1/4""FB W/ADH"
MB_2018994,2022-01-13,28,2022-02-10,54,321,589,61.95,Vinyls/Mesh/Screen,Vinyl - Lam,OMNOVA SOLUTIONS INC.,"VINYL, SOFDURA GEL WHT PREFIXX 1/4""FB W/ADH"
MB_2039891,2022-01-13,56,2022-03-10,1193,2305,3417,72.82,Vinyls/Mesh/Screen,Vinyl - Flat,OMNOVA SOLUTIONS INC.,"VINYL, UNDERLINING WHT FLAT"
MB_2039891,2022-01-13,84,2022-04-07,2089,3160,4232,79.66,Vinyls/Mesh/Screen,Vinyl - Flat,OMNOVA SOLUTIONS INC.,"VINYL, UNDERLINING WHT FLAT"
MB_2039891,2022-01-13,112,2022-05-05,2881,3896,4911,84.36,Vinyls/Mesh/Screen,Vinyl - Flat,OMNOVA SOLUTIONS INC.,"VINYL, UNDERLINING WHT FLAT"
MB_2039891,2022-01-13,28,2022-02-10,271,1059,1847,60.68,Vinyls/Mesh/Screen,Vinyl - Flat,OMNOVA SOLUTIONS INC.,"VINYL, UNDERLINING WHT FLAT"
MB_2077037,2022-01-13,56,2022-03-10,2657,4121,5586,79.61,Vinyls/Mesh/Screen,Vinyl - Flat,OMNOVA SOLUTIONS INC.,"VINYL, UNDERLINING BLK FLAT"
MB_2077037,2022-01-13,84,2022-04-07,4753,7171,9589,80.52,Vinyls/Mesh/Screen,Vinyl - Flat,OMNOVA SOLUTIONS INC.,"VINYL, UNDERLINING BLK FLAT"
MB_2077037,2022-01-13,112,2022-05-05,5156,6910,8664,84.2,Vinyls/Mesh/Screen,Vinyl - Flat,OMNOVA SOLUTIONS INC.,"VINYL, UNDERLINING BLK FLAT"
MB_2077037,2022-01-13,28,2022-02-10,1121,1861,2600,77.82,Vinyls/Mesh/Screen,Vinyl - Flat,OMNOVA SOLUTIONS INC.,"VINYL, UNDERLINING BLK FLAT"
MB_2120910,2022-01-13,56,2022-03-10,0,484,1134,26.83,Vinyls/Mesh/Screen,Vinyl - Flat,OMNOVA SOLUTIONS INC.,"VINYL, ELYSEE/TAUPE FLAT"
MB_2120910,2022-01-13,84,2022-04-07,0,771,1925,15.59,Vinyls/Mesh/Screen,Vinyl - Flat,OMNOVA SOLUTIONS INC.,"VINYL, ELYSEE/TAUPE FLAT"
MB_2120910,2022-01-13,28,2022-02-10,0,268,615,28.88,Vinyls/Mesh/Screen,Vinyl - Flat,OMNOVA SOLUTIONS INC.,"VINYL, ELYSEE/TAUPE FLAT"
MB_2241275,2022-01-13,56,2022-03-10,1542,2193,2844,82.75,Vinyls/Mesh/Screen,Vinyl - Flat,OMNOVA SOLUTIONS INC.,"VINYL, ELYSEE/SMOKE STACK FLAT"
MB_2241275,2022-01-13,84,2022-04-07,2387,3189,3991,86.44,Vinyls/Mesh/Screen,Vinyl - Flat,OMNOVA SOLUTIONS INC.,"VINYL, ELYSEE/SMOKE STACK FLAT"
MB_2241275,2022-01-13,112,2022-05-05,2461,3794,5128,79.72,Vinyls/Mesh/Screen,Vinyl - Flat,OMNOVA SOLUTIONS INC.,"VINYL, ELYSEE/SMOKE STACK FLAT"
MB_2241275,2022-01-13,28,2022-02-10,456,956,1455,69.78,Vinyls/Mesh/Screen,Vinyl - Flat,OMNOVA SOLUTIONS INC.,"VINYL, ELYSEE/SMOKE STACK FLAT"
MB_2267871,2022-01-13,56,2022-03-10,249,458,667,75.1,Vinyls/Mesh/Screen,Vinyl - Flat,SPRADLING INTERNATIONAL INC,"VINYL, SIMTEX / IMPULSE BLUE FLAT"
MB_2267871,2022-01-13,84,2022-04-07,360,661,962,72.84,Vinyls/Mesh/Screen,Vinyl - Flat,SPRADLING INTERNATIONAL INC,"VINYL, SIMTEX / IMPULSE BLUE FLAT"
MB_2267871,2022-01-13,112,2022-05-05,492,827,1162,75.45,Vinyls/Mesh/Screen,Vinyl - Flat,SPRADLING INTERNATIONAL INC,"VINYL, SIMTEX / IMPULSE BLUE FLAT"
MB_2267871,2022-01-13,28,2022-02-10,72,261,450,64.98,Vinyls/Mesh/Screen,Vinyl - Flat,SPRADLING INTERNATIONAL INC,"VINYL, SIMTEX / IMPULSE BLUE FLAT"
MB_2283317,2022-01-13,84,2022-04-07,1246,1970,2694,78.53,Vinyls/Mesh/Screen,Vinyl - Flat,MORBERN LLC,"VINYL, SEASIDE PEB/LT SAND MGX FLAT"
MB_2283317,2022-01-13,28,2022-02-10,392,731,1070,72.22,Vinyls/Mesh/Screen,Vinyl - Flat,MORBERN LLC,"VINYL, SEASIDE PEB/LT SAND MGX FLAT"
MB_2320628,2022-01-13,112,2022-05-05,1252,3736,6220,63.04,Vinyls/Mesh/Screen,Vinyl - Flat,OMNOVA SOLUTIONS INC.,"VINYL, SOFDURE CLAY FLAT"
MB_2321162,2022-01-13,56,2022-03-10,1393,2172,2952,79.71,Vinyls/Mesh/Screen,Vinyl - Flat,OMNOVA SOLUTIONS INC.,"VINYL, ELYSEE/ASH FLAT"
MB_2321162,2022-01-13,84,2022-04-07,1721,3456,5191,72.31,Vinyls/Mesh/Screen,Vinyl - Flat,OMNOVA SOLUTIONS INC.,"VINYL, ELYSEE/ASH FLAT"
MB_2321162,2022-01-13,112,2022-05-05,2998,4748,6498,77.09,Vinyls/Mesh/Screen,Vinyl - Flat,OMNOVA SOLUTIONS INC.,"VINYL, ELYSEE/ASH FLAT"
MB_2321162,2022-01-13,28,2022-02-10,512,1031,1551,74.85,Vinyls/Mesh/Screen,Vinyl - Flat,OMNOVA SOLUTIONS INC.,"VINYL, ELYSEE/ASH FLAT"
SC_1884199,2022-01-13,56,2022-03-10,89531,126138,162745,82.79,Laminates/Adhesives,Resin,"AOC, LLC","RESIN, DCPD BLEND H864 FKM 67"
SC_1884199,2022-01-13,84,2022-04-07,141489,185683,229877,86.81,Laminates/Adhesives,Resin,"AOC, LLC","RESIN, DCPD BLEND H864 FKM 67"
SC_1884199,2022-01-13,112,2022-05-05,192532,242896,293259,88.26,Laminates/Adhesives,Resin,"AOC, LLC","RESIN, DCPD BLEND H864 FKM 67"
SC_1884199,2022-01-13,28,2022-02-10,40020,61380,82739,79.6,Laminates/Adhesives,Resin,"AOC, LLC","RESIN, DCPD BLEND H864 FKM 67"
SC_2221827,2022-01-13,56,2022-03-10,11117,17405,23693,80.17,Laminates/Adhesives,Adhesives,SCIGRIP,"ADHESIVE, WELD-ON SG-230HVA OFF WHT/405 LB"
SC_2221827,2022-01-13,84,2022-04-07,17711,25196,32681,83.84,Laminates/Adhesives,Adhesives,SCIGRIP,"ADHESIVE, WELD-ON SG-230HVA OFF WHT/405 LB"
SC_2221827,2022-01-13,112,2022-05-05,25672,34461,43249,84.76,Laminates/Adhesives,Adhesives,SCIGRIP,"ADHESIVE, WELD-ON SG-230HVA OFF WHT/405 LB"
SC_2221827,2022-01-13,28,2022-02-10,4733,7819,10905,76.7,Laminates/Adhesives,Adhesives,SCIGRIP,"ADHESIVE, WELD-ON SG-230HVA OFF WHT/405 LB"
SC_2222455,2022-01-13,56,2022-03-10,922,1936,2950,68.98,Laminates/Adhesives,Adhesives,SCIGRIP,"ADHESIVE, WELD-ON SG218B HV COMPONENT B/5GL"
SC_2222455,2022-01-13,84,2022-04-07,2003,3100,4197,79.82,Laminates/Adhesives,Adhesives,SCIGRIP,"ADHESIVE, WELD-ON SG218B HV COMPONENT B/5GL"
SC_2222455,2022-01-13,112,2022-05-05,2705,3833,4961,82.63,Laminates/Adhesives,Adhesives,SCIGRIP,"ADHESIVE, WELD-ON SG218B HV COMPONENT B/5GL"
SC_2222455,2022-01-13,28,2022-02-10,523,871,1218,75.63,Laminates/Adhesives,Adhesives,SCIGRIP,"ADHESIVE, WELD-ON SG218B HV COMPONENT B/5GL"
TL_1216290,2022-01-13,28,2022-02-10,3644,10545,17447,66.67,Laminates/Adhesives,Resin,"POLYNT COMPOSITES USA, INC","RESIN, RTM REICHOLD"
TL_1887507,2022-01-13,56,2022-03-10,289819,557157,824494,73.66,Laminates/Adhesives,Resin,AOC TENNESSEE INC,"RESIN, DCPD BLEND BULK WINTER (H864-FAF-38)"
TL_1887507,2022-01-13,28,2022-02-10,124938,246240,367543,74.73,Laminates/Adhesives,Resin,AOC TENNESSEE INC,"RESIN, DCPD BLEND BULK WINTER (H864-FAF-38)"
TL_209783,2022-01-13,112,2022-05-05,756,1789,2823,64.34,Laminates/Adhesives,Adhesives,RELIATEX INC,"ADHESIVE, CONTACT SPRAY STUCK-UP (UPH)"
TL_2162339,2022-01-13,56,2022-03-10,24638,41073,57509,74.01,Laminates/Adhesives,Resin,AOC TENNESSEE INC,"RESIN, HYDROPEL VINYL ESTER H036-ACA-20"
TL_2162339,2022-01-13,28,2022-02-10,10863,19964,29065,75.1,Laminates/Adhesives,Resin,AOC TENNESSEE INC,"RESIN, HYDROPEL VINYL ESTER H036-ACA-20"
TL_2206680,2022-01-13,28,2022-02-10,3463,8738,14013,63.52,Laminates/Adhesives,Coremat,CARBON-CORE CORP,"CORE MATERIAL, SPHERECORE SP 3MM X 50""W"
TL_2206684,2022-01-13,56,2022-03-10,9485,18044,26602,72.9,Laminates/Adhesives,Coremat,CARBON-CORE CORP,"CORE MATERIAL, SPHERECORE SP 3MM X 60""W"
TL_2206684,2022-01-13,84,2022-04-07,16695,25111,33527,81.12,Laminates/Adhesives,Coremat,CARBON-CORE CORP,"CORE MATERIAL, SPHERECORE SP 3MM X 60""W"
TL_2206684,2022-01-13,112,2022-05-05,17367,31581,45795,71.49,Laminates/Adhesives,Coremat,CARBON-CORE CORP,"CORE MATERIAL, SPHERECORE SP 3MM X 60""W"
TL_2206684,2022-01-13,28,2022-02-10,2403,8666,14929,68.15,Laminates/Adhesives,Coremat,CARBON-CORE CORP,"CORE MATERIAL, SPHERECORE SP 3MM X 60""W"
TL_2221827,2022-01-13,56,2022-03-10,6711,17297,27882,64.27,Laminates/Adhesives,Adhesives,SCIGRIP,"ADHESIVE, WELD-ON SG-230HVA OFF WHT/405 LB"
TL_2221827,2022-01-13,84,2022-04-07,8601,26798,44995,59.55,Laminates/Adhesives,Adhesives,SCIGRIP,"ADHESIVE, WELD-ON SG-230HVA OFF WHT/405 LB"
TL_2221827,2022-01-13,28,2022-02-10,3037,7598,12159,71.06,Laminates/Adhesives,Adhesives,SCIGRIP,"ADHESIVE, WELD-ON SG-230HVA OFF WHT/405 LB"
TL_2222455,2022-01-13,56,2022-03-10,824,1897,2970,66.9,Laminates/Adhesives,Adhesives,SCIGRIP,"ADHESIVE, WELD-ON SG218B HV COMPONENT B/5GL"
TL_2222455,2022-01-13,84,2022-04-07,1410,3090,4770,67.46,Laminates/Adhesives,Adhesives,SCIGRIP,"ADHESIVE, WELD-ON SG218B HV COMPONENT B/5GL"
TL_2222455,2022-01-13,112,2022-05-05,1298,2737,4176,66.41,Laminates/Adhesives,Adhesives,SCIGRIP,"ADHESIVE, WELD-ON SG218B HV COMPONENT B/5GL"
