part_ID,outlier_cutoff,start_date,center_date,cv_date,evaluation_frequency,forecast_window,model_eval_every_N_weeks,m_changepoint_prior_scale,m_seasonality_prior_scale,m_interval_width,goodness_fit_Max,goodness_fit_Mean,goodness_fit_Min,goodness_fit_Std,forecast_coverage,forecast_mean_error,forecast_std_error,forecast_MAPE,forecast_MAPE_std,N_test_points
MB_1883673,474,1/1/18,1/13/21,1/13/22,7D,56,1,0.5,1,0.95,95.66285341,66.77251969,17.72226993,19.82661849,38.63636364,9.586108535,56.42521046,45.94273932,33.43669761,44
MB_1883673,474,1/1/18,1/13/21,1/13/22,7D,84,1,0.5,10,0.95,95.08116988,71.52680093,33.65443467,17.99542515,92.5,7.343446873,61.12324396,46.90248267,39.18048979,40
MB_2018994,133,1/1/18,1/13/21,1/13/22,7D,56,1,0.1,0.1,0.95,87.52416708,69.64784273,52.13578252,10.86852004,59.09090909,0.479715369,38.25625459,33.92280511,16.91916083,44
MB_2018994,133,1/1/18,1/13/21,1/13/22,7D,84,1,0.1,0.1,0.95,88.13697628,69.93883748,49.41970609,11.62227213,40,4.895613041,39.10781122,32.87393291,21.1091653,40
MB_2018994,133,1/1/18,1/13/21,1/13/22,7D,112,1,0.1,0.1,0.95,85.10471184,70.05374482,54.53578692,8.841175779,33.33333333,8.457451112,36.59372312,31.73539949,19.41035391,36
MB_2018994,133,1/1/18,1/13/21,1/13/22,7D,28,1,0.01,10,0.95,94.06821258,67.84255238,8.458535429,15.68712128,79.16666667,-8.566146736,40.61847106,33.55547466,23.97652243,48
MB_2039891,384,1/1/18,1/13/21,1/13/22,7D,56,1,0.01,0.1,0.95,93.13398918,72.55409694,39.44212527,14.7054979,61.36363636,-3.511880661,35.71217178,28.86549497,20.86589095,44
MB_2039891,384,1/1/18,1/13/21,1/13/22,7D,84,1,0.01,1,0.95,93.24682677,79.08014658,70.57944515,7.094241376,80,-4.508417041,24.94300871,21.07324069,13.69425079,40
MB_2039891,384,1/1/18,1/13/21,1/13/22,7D,112,1,0.01,0.1,0.95,86.97577598,80.69209955,71.47815724,4.614064252,86.11111111,-3.134211986,19.37081722,16.2791711,10.61834938,36
MB_2039891,384,1/1/18,1/13/21,1/13/22,7D,28,1,0.01,10,0.95,88.31299299,61.65294469,-9.123107511,23.28426848,70.83333333,7.612537976,54.96517127,41.10640065,36.80578451,48
