part_ID,outlier_cutoff,start_date
MB_209783,50,1/1/18
MB_2026691,691,1/1/18
MB_1965804,18,1/1/18
MB_1883673,474,1/1/18
MB_1704249,131,1/1/18
MB_1701331,50,1/1/18
MB_2129797,1976,1/1/18
MB_1705084,648,1/1/18
MB_1706618,11,1/1/18
MB_2129800,1936,1/1/18
TL_1887507,31506,1/1/18
TL_2162339,3607,1/1/18
NM_2294058,209,1/1/18
MB_2061871,1776,1/1/18
EW_2297548,420,10/1/19
MB_1944687,7,1/1/18
TL_100917,363,1/1/18
MB_2129778,516,1/1/18
MB_2061888,7113,1/1/18
EW_1558485,24674,10/1/19
MB_2129866,65006,1/1/18
MB_2321162,277,1/1/18
TL_2025474,3939,1/1/18
MB_2039891,384,1/1/18
MB_2134498,844,1/1/18
MB_2241275,217,1/1/18
TL_2321490,334,1/1/18
TL_2165829,637,1/1/18
SC_1884199,16764,1/1/18
TL_2129800,2281,1/1/18
MB_2320628,262,1/1/18
SC_308221,318,10/1/18
MB_1687646,1099,1/1/18
MB_2119088,6070,1/1/18
MB_2163073,38568,1/1/18
MB_2107787,195029,1/1/18
TL_2077037,552,1/1/18
MB_2268452,267,1/1/18
MB_2291916,57,1/1/18
TL_2221827,2634,1/1/18
MB_2303549,282,1/1/18
TL_209783,249,1/1/18
TL_2222455,326,1/1/18
MB_2018994,133,1/1/18
TL_2221671,161,1/1/18
MB_1838710,1323,1/1/18
MB_2349675,7210,1/1/18
MB_2165292,7122,1/1/18
MB_2098471,1276,1/1/18
MB_2221154,1354,1/1/18
TL_2129801,1493,1/1/18
MB_2077037,338,1/1/18
MB_1581024,50,1/1/18
SC_2221827,2057,1/1/18
TL_2000150,1880,4/1/18
SC_1963785,104,10/1/18
TL_2305468,39,1/1/18
SC_2222455,253,1/1/18
HK_2043645,107,1/1/18
TL_2206680,4533,1/1/18
MB_2283317,246,1/1/18
MB_2129795,735,1/1/18
CK_2322285,54,1/1/19
NM_1995652,817,1/1/18
MB_156901,6,1/1/18
TL_1965804,18,1/1/18
MB_1711842,38,1/1/18
TL_2266888,1184,1/1/18
MB_2120910,225,1/1/18
TL_2206684,5164,1/1/18
TL_1481076,1906,1/1/18
MB_1696415,43,1/1/18
TL_2129768,1632,1/1/18
EW_2311207,63,10/1/18
MB_1481076,716,1/1/18
TL_2134806,1695,1/1/18
MB_1896094,147,1/1/18
TL_2038050,289,1/1/18
MB_2269192,1595,1/1/18
MB_1698518,4731,1/1/18
MB_2272592,11,10/1/18
HK_2219832,40,1/1/18
TL_1216290,3192,1/1/18
MB_2283326,219,6/1/18
TL_1805444,5621,1/1/18
TL_2277961,150,1/1/18
HK_2219833,32,1/1/18
TL_1965803,1640,1/1/18
TL_2127791,43,11/1/18
SC_2129867,12093,1/1/19
TL_2283320,130,1/1/18
MB_2267871,110,1/1/18
TL_2081895,7,1/1/18
MB_2126292,1590,1/1/18
HK_2135867,43,1/1/18
LB_1823378,104,1/1/18
HK_2135868,41,1/1/18
MB_2271034,151,8/1/18
